scenario,replicate,estimate_full,se_full,estimate_coarsened,se_coarsened,estimate_sequential,se_sequential,complete_proportion,l1_only_proportion,neither_proportion,min_pi1_oof,min_pi2_oof,min_pis_oof
Sequential-MAR,8,0.49462000261198924,0.03756859185730782,0.46166210405227276,0.07757308732584484,0.5213125972077053,0.06990535793489672,0.30675,0.512,0.18125,0.6422072167039687,0.09784352767352279,0.028009689685164384
Sequential-MAR,9,0.48268064175335396,0.03658849364614772,0.5154172210382272,0.08008861990479713,0.4765371382660164,0.059906778749391806,0.31175,0.518,0.17025,0.6748840340445996,0.13261889482703773,0.025
Sequential-MAR,10,0.4855696091109982,0.03850387603681263,0.3855082047033391,0.08250404070148641,0.4493529179195117,0.06169453839578631,0.3125,0.51875,0.16875,0.7006412843000306,0.15114408496372464,0.025
Sequential-MAR,11,0.487186661060603,0.03725594439967242,0.5203511828995177,0.0725667143345602,0.49128859811889375,0.059134589153820985,0.31525,0.50525,0.1795,0.6892147594054993,0.15804657002600064,0.05479370416739957
Sequential-MAR,12,0.45936488124278424,0.03656679135277452,0.4841384317662961,0.06805877141088626,0.48166139421721643,0.05643472156592351,0.32275,0.509,0.16825,0.651764912115059,0.14183151070914646,0.04133288651878433
Sequential-MAR,13,0.4915138939891583,0.037925232518966345,0.4527327269353553,0.07192967168305252,0.48167335279250245,0.06611882991302255,0.31525,0.51575,0.169,0.7136081858444467,0.12166692054083389,0.03876282126135042
Sequential-MAR,14,0.5024792677531607,0.0357334519710883,0.5789281414996212,0.10518728363000908,0.554550967812831,0.062033733813124596,0.3155,0.5145,0.17,0.6744971915797052,0.16548671917891672,0.025
Sequential-MAR,15,0.46824739796616455,0.03482544232614263,0.5509355387515918,0.07868978582751042,0.4267198067571089,0.05375400529613332,0.317,0.50175,0.18125,0.7437672038080035,0.17575557545122383,0.0402342010418456
Sequential-MAR,16,0.4536746873439978,0.03759365685488445,0.38050988785731255,0.07249644345385901,0.40271362705616176,0.054650071441992014,0.321,0.50225,0.17675,0.7071968463874783,0.14289392642862445,0.025
Sequential-MAR,17,0.44042767324282034,0.037282966058371614,0.3490691194789125,0.08938667990625937,0.3912768834739993,0.058997528457289936,0.31425,0.522,0.16375,0.7238692915334414,0.14317766323217015,0.03404957476256928
Sequential-MAR,18,0.4963280216027659,0.03762356712590404,0.7154918345769896,0.0818746566230799,0.7017654690759577,0.07928793204037993,0.31375,0.513,0.17325,0.7098159880772325,0.14839571686226194,0.03758533249533273
Sequential-MAR,19,0.5143601199263824,0.03645200068045931,0.4579147361111256,0.08138743005256946,0.426116406946957,0.05673413167361372,0.322,0.5155,0.1625,0.7126767905408743,0.13394714731607707,0.0396047207639177
Sequential-MAR,20,0.4163544957575541,0.03818504767714922,0.35404807676266953,0.06738892994019083,0.39715145398633056,0.06140585933476734,0.32575,0.49825,0.176,0.6566555656153602,0.1752577466775759,0.051342561487978694
Sequential-MAR,21,0.5052488416833507,0.038373756466535375,0.4823889743159009,0.07678054415866994,0.46520631461719414,0.06846217850275077,0.33325,0.504,0.16275,0.6247911969416129,0.14827245473323694,0.04730439420989604
Sequential-MAR,22,0.49958771812268166,0.03723092969034501,0.48009544961422146,0.08007275705992245,0.5188175610880766,0.067351242635154,0.30825,0.52375,0.168,0.6872921564661347,0.1381032082727206,0.03908276018577815
Sequential-MAR,23,0.5122223291377581,0.03738633926226132,0.4875753967813611,0.08143722921728595,0.5411685843585728,0.06310170315843623,0.31575,0.5075,0.17675,0.7212541082040983,0.16274353169788397,0.07250544132872765
Sequential-MAR,24,0.4857147676278815,0.038006606338311225,0.4647704202709505,0.08842301740061946,0.45775593290793587,0.05711024547489922,0.32525,0.503,0.17175,0.6862277018461518,0.13507693887654498,0.04177212344466718
Sequential-MAR,25,0.4909411469647115,0.0350774316276569,0.5825995234107384,0.07688167757910977,0.4800833243603336,0.060077160286440626,0.3255,0.50375,0.17075,0.6890731519136563,0.19299558324286875,0.037747478128325816
Sequential-MAR,26,0.5128208669016702,0.03741855611764242,0.5564253503980124,0.07306949868489532,0.5209615308244463,0.05461174556608715,0.314,0.508,0.178,0.7167791562305554,0.1464364572203827,0.03417244081799415
Sequential-MAR,27,0.446892457352678,0.038199724524597,0.4801306382306954,0.08334842780746692,0.4703747273612464,0.06846016313249806,0.31225,0.50525,0.1825,0.6874611268025063,0.10578969429242115,0.03282595002883298
Sequential-MAR,28,0.527843771608424,0.03930582056162623,0.42873839706696654,0.07645377021869486,0.42797553996625787,0.05584431230842315,0.3125,0.507,0.1805,0.6250191860884532,0.15400425972562792,0.04296408437923693
Sequential-MAR,29,0.48680119657314624,0.03607963711412839,0.5248275578690303,0.0718100759811569,0.5353917546545593,0.05945542761987214,0.3115,0.5025,0.186,0.6975366507240501,0.1461423447870318,0.03402864894230615
